state,year,driver_gender,driver_race,decriminalization,medical,recreational,no_reforms,search_conducted_false,search_conducted_true,search_conducted_rate,contraband_found_false,contraband_found_true,contraband_found_rate,hit_false,hit_true,hit_rate,num_stops
CT,2014,M,White,1,1,0,0,112878.0,1737.0,0.01515508441303494,113959.0,656.0,0.005723509139292413,1081.0,656.0,0.3776626367299942,114615.0
CT,2015,F,Black,1,1,0,0,1470.0,20.0,0.013422818791946308,1484.0,6.0,0.004026845637583893,14.0,6.0,0.3,1490.0
CT,2015,F,Hispanic,1,1,0,0,1071.0,17.0,0.015625,1086.0,2.0,0.0018382352941176468,15.0,2.0,0.1176470588235294,1088.0
CT,2015,F,White,1,1,0,0,10164.0,111.0,0.010802919708029195,10234.0,41.0,0.003990267639902677,70.0,41.0,0.36936936936936937,10275.0
CT,2015,M,Asian,1,1,0,0,672.0,7.0,0.010309278350515464,675.0,4.0,0.005891016200294551,3.0,4.0,0.5714285714285714,679.0
CT,2015,M,Black,1,1,0,0,3122.0,180.0,0.054512416717141125,3252.0,50.0,0.015142337976983647,130.0,50.0,0.2777777777777778,3302.0
CT,2015,M,Hispanic,1,1,0,0,2909.0,159.0,0.05182529335071708,3024.0,44.0,0.014341590612777053,115.0,44.0,0.2767295597484277,3068.0
CT,2015,M,White,1,1,0,0,18260.0,400.0,0.02143622722400857,18492.0,168.0,0.0090032154340836,232.0,168.0,0.42,18660.0
IL,2004,F,Asian,0,0,0,1,1779.0,32.0,0.0176697956929873,1807.0,4.0,0.0022087244616234127,28.0,4.0,0.125,1811.0
IL,2004,F,Black,0,0,0,1,16739.0,768.0,0.043868167018906716,17393.0,114.0,0.0065116810418689676,654.0,114.0,0.1484375,17507.0
IL,2004,F,Hispanic,0,0,0,1,4163.0,239.0,0.054293502953203086,4369.0,33.0,0.007496592457973648,206.0,33.0,0.13807531380753138,4402.0
IL,2004,F,Other,0,0,0,1,219.0,4.0,0.017937219730941704,223.0,,,4.0,,,223.0
IL,2004,F,White,0,0,0,1,80983.0,1641.0,0.01986105731990705,82228.0,396.0,0.004792796281951975,1245.0,396.0,0.2413162705667276,82624.0
IL,2004,M,Asian,0,0,0,1,6059.0,165.0,0.026510282776349613,6202.0,22.0,0.0035347043701799484,143.0,22.0,0.13333333333333333,6224.0
IL,2004,M,Black,0,0,0,1,37779.0,4316.0,0.10252999168547333,41238.0,857.0,0.020358712436156317,3459.0,857.0,0.198563484708063,42095.0
IL,2004,M,Hispanic,0,0,0,1,20128.0,2526.0,0.111503487242871,22269.0,385.0,0.016994791206850886,2141.0,385.0,0.15241488519398258,22654.0
IL,2004,M,Other,0,0,0,1,646.0,25.0,0.03725782414307005,670.0,1.0,0.0014903129657228018,24.0,1.0,0.04,671.0
IL,2004,M,White,0,0,0,1,200826.0,6774.0,0.032630057803468206,205839.0,1761.0,0.00848265895953757,5013.0,1761.0,0.2599645704162976,207600.0
IL,2005,F,Asian,0,0,0,1,2089.0,26.0,0.012293144208037824,2112.0,3.0,0.0014184397163120568,23.0,3.0,0.1153846153846154,2115.0
IL,2005,F,Black,0,0,0,1,19884.0,997.0,0.04774675542359082,20742.0,139.0,0.006656769311814568,858.0,139.0,0.13941825476429287,20881.0
IL,2005,F,Hispanic,0,0,0,1,4966.0,285.0,0.054275376118834505,5221.0,30.0,0.005713197486193106,255.0,30.0,0.10526315789473684,5251.0
IL,2005,F,Other,0,0,0,1,183.0,6.0,0.031746031746031744,186.0,3.0,0.015873015873015872,3.0,3.0,0.5,189.0
