state,district,precinct,party,candidate,votes
NORTH CAROLINA,1,24,DEMOCRAT,G K BUTTERFIELD,62
NORTH CAROLINA,1,24,REPUBLICAN,SANDY SMITH,482
NORTH CAROLINA,1,2530,DEMOCRAT,G K BUTTERFIELD,139
NORTH CAROLINA,1,2530,REPUBLICAN,SANDY SMITH,145
NORTH CAROLINA,1,26,DEMOCRAT,G K BUTTERFIELD,133
NORTH CAROLINA,1,26,REPUBLICAN,SANDY SMITH,147
NORTH CAROLINA,1,27,DEMOCRAT,G K BUTTERFIELD,104
NORTH CAROLINA,1,27,REPUBLICAN,SANDY SMITH,65
NORTH CAROLINA,1,28,DEMOCRAT,G K BUTTERFIELD,159
NORTH CAROLINA,1,28,REPUBLICAN,SANDY SMITH,282
NORTH CAROLINA,1,29,DEMOCRAT,G K BUTTERFIELD,103
NORTH CAROLINA,1,29,REPUBLICAN,SANDY SMITH,49
NORTH CAROLINA,1,3,DEMOCRAT,G K BUTTERFIELD,729
NORTH CAROLINA,1,3,REPUBLICAN,SANDY SMITH,721
NORTH CAROLINA,1,4N,DEMOCRAT,G K BUTTERFIELD,362
NORTH CAROLINA,1,4N,REPUBLICAN,SANDY SMITH,683
NORTH CAROLINA,1,4S,DEMOCRAT,G K BUTTERFIELD,393
NORTH CAROLINA,1,4S,REPUBLICAN,SANDY SMITH,335
NORTH CAROLINA,1,5,DEMOCRAT,G K BUTTERFIELD,275
NORTH CAROLINA,1,5,REPUBLICAN,SANDY SMITH,522
NORTH CAROLINA,1,A1,DEMOCRAT,G K BUTTERFIELD,144
NORTH CAROLINA,1,A1,REPUBLICAN,SANDY SMITH,83
NORTH CAROLINA,1,A2,DEMOCRAT,G K BUTTERFIELD,84
NORTH CAROLINA,1,A2,REPUBLICAN,SANDY SMITH,85
NORTH CAROLINA,1,A3,DEMOCRAT,G K BUTTERFIELD,127
NORTH CAROLINA,1,A3,REPUBLICAN,SANDY SMITH,16
NORTH CAROLINA,1,ABSENTEE,DEMOCRAT,G K BUTTERFIELD,19761
NORTH CAROLINA,1,ABSENTEE,REPUBLICAN,SANDY SMITH,8190
NORTH CAROLINA,1,ABSENTEE BY MAIL,DEMOCRAT,G K BUTTERFIELD,634
NORTH CAROLINA,1,ABSENTEE BY MAIL,REPUBLICAN,SANDY SMITH,142
NORTH CAROLINA,1,ARBA,DEMOCRAT,G K BUTTERFIELD,389
NORTH CAROLINA,1,ARBA,REPUBLICAN,SANDY SMITH,344
NORTH CAROLINA,1,BEAR,DEMOCRAT,G K BUTTERFIELD,246
NORTH CAROLINA,1,BEAR,REPUBLICAN,SANDY SMITH,451
NORTH CAROLINA,1,BG,DEMOCRAT,G K BUTTERFIELD,85
NORTH CAROLINA,1,BG,REPUBLICAN,SANDY SMITH,461
NORTH CAROLINA,1,BOE OFFICE,DEMOCRAT,G K BUTTERFIELD,3462
NORTH CAROLINA,1,BOE OFFICE,REPUBLICAN,SANDY SMITH,1507
NORTH CAROLINA,1,BR,DEMOCRAT,G K BUTTERFIELD,52
NORTH CAROLINA,1,BR,REPUBLICAN,SANDY SMITH,10
NORTH CAROLINA,1,BULL,DEMOCRAT,G K BUTTERFIELD,301
NORTH CAROLINA,1,BULL,REPUBLICAN,SANDY SMITH,345
