state,district2010,district2020,precinct,party,candidate,votes
WASHINGTON,2,2,BRIER 5,DEMOCRAT,RICK LARSEN,408
WASHINGTON,2,2,BRIER 5,REPUBLICAN,TIMOTHY S HAZELO,221
WASHINGTON,2,2,BRIER 6,DEMOCRAT,RICK LARSEN,273
WASHINGTON,2,2,BRIER 6,REPUBLICAN,TIMOTHY S HAZELO,138
WASHINGTON,2,2,BRIER 7,DEMOCRAT,RICK LARSEN,407
WASHINGTON,2,2,BRIER 7,REPUBLICAN,TIMOTHY S HAZELO,203
WASHINGTON,2,2,BRIER 8,DEMOCRAT,RICK LARSEN,282
WASHINGTON,2,2,BRIER 8,REPUBLICAN,TIMOTHY S HAZELO,155
WASHINGTON,2,2,BURLINGTON 1,DEMOCRAT,RICK LARSEN,297
WASHINGTON,2,2,BURLINGTON 1,REPUBLICAN,TIMOTHY S HAZELO,173
WASHINGTON,2,2,BURLINGTON 2,DEMOCRAT,RICK LARSEN,291
WASHINGTON,2,2,BURLINGTON 2,REPUBLICAN,TIMOTHY S HAZELO,221
WASHINGTON,2,2,BURLINGTON 3,DEMOCRAT,RICK LARSEN,186
WASHINGTON,2,2,BURLINGTON 3,REPUBLICAN,TIMOTHY S HAZELO,102
WASHINGTON,2,2,BURLINGTON 4,DEMOCRAT,RICK LARSEN,272
WASHINGTON,2,2,BURLINGTON 4,REPUBLICAN,TIMOTHY S HAZELO,308
WASHINGTON,2,2,BURLINGTON 5,DEMOCRAT,RICK LARSEN,475
WASHINGTON,2,2,BURLINGTON 5,REPUBLICAN,TIMOTHY S HAZELO,426
WASHINGTON,2,2,BURLINGTON 6,DEMOCRAT,RICK LARSEN,294
WASHINGTON,2,2,BURLINGTON 6,REPUBLICAN,TIMOTHY S HAZELO,210
WASHINGTON,2,2,BURLINGTON 7,DEMOCRAT,RICK LARSEN,284
WASHINGTON,2,2,BURLINGTON 7,REPUBLICAN,TIMOTHY S HAZELO,231
WASHINGTON,2,2,BUTTERNUT,DEMOCRAT,RICK LARSEN,525
WASHINGTON,2,2,BUTTERNUT,REPUBLICAN,TIMOTHY S HAZELO,229
WASHINGTON,2,2,C WHIDBEY 01,DEMOCRAT,RICK LARSEN,314
WASHINGTON,2,2,C WHIDBEY 01,REPUBLICAN,TIMOTHY S HAZELO,386
WASHINGTON,2,2,C WHIDBEY 02,DEMOCRAT,RICK LARSEN,705
WASHINGTON,2,2,C WHIDBEY 02,REPUBLICAN,TIMOTHY S HAZELO,675
WASHINGTON,2,2,C WHIDBEY 03,DEMOCRAT,RICK LARSEN,669
WASHINGTON,2,2,C WHIDBEY 03,REPUBLICAN,TIMOTHY S HAZELO,450
WASHINGTON,2,2,C WHIDBEY 04,DEMOCRAT,RICK LARSEN,672
WASHINGTON,2,2,C WHIDBEY 04,REPUBLICAN,TIMOTHY S HAZELO,578
WASHINGTON,2,2,C WHIDBEY 05,DEMOCRAT,RICK LARSEN,741
WASHINGTON,2,2,C WHIDBEY 05,REPUBLICAN,TIMOTHY S HAZELO,404
WASHINGTON,2,2,CAMANO 01,DEMOCRAT,RICK LARSEN,509
WASHINGTON,2,2,CAMANO 01,REPUBLICAN,TIMOTHY S HAZELO,456
WASHINGTON,2,2,CAMANO 02,DEMOCRAT,RICK LARSEN,601
WASHINGTON,2,2,CAMANO 02,REPUBLICAN,TIMOTHY S HAZELO,603
WASHINGTON,2,2,CAMANO 03,DEMOCRAT,RICK LARSEN,671
WASHINGTON,2,2,CAMANO 03,REPUBLICAN,TIMOTHY S HAZELO,624
WASHINGTON,2,2,CAMANO 04,DEMOCRAT,RICK LARSEN,699
WASHINGTON,2,2,CAMANO 04,REPUBLICAN,TIMOTHY S HAZELO,721
WASHINGTON,2,2,CAMANO 05,DEMOCRAT,RICK LARSEN,612
WASHINGTON,2,2,CAMANO 05,REPUBLICAN,TIMOTHY S HAZELO,667
WASHINGTON,2,2,CAMANO 06,DEMOCRAT,RICK LARSEN,663
WASHINGTON,2,2,CAMANO 06,REPUBLICAN,TIMOTHY S HAZELO,664
WASHINGTON,2,2,CAMANO 07,DEMOCRAT,RICK LARSEN,636
WASHINGTON,2,2,CAMANO 07,REPUBLICAN,TIMOTHY S HAZELO,534
WASHINGTON,2,2,CAMANO 08,DEMOCRAT,RICK LARSEN,433
WASHINGTON,2,2,CAMANO 08,REPUBLICAN,TIMOTHY S HAZELO,486
WASHINGTON,2,2,CAMANO 09,DEMOCRAT,RICK LARSEN,569
WASHINGTON,2,2,CAMANO 09,REPUBLICAN,TIMOTHY S HAZELO,524
WASHINGTON,2,2,CAMANO 10,DEMOCRAT,RICK LARSEN,540
WASHINGTON,2,2,CAMANO 10,REPUBLICAN,TIMOTHY S HAZELO,418
WASHINGTON,2,2,CAMANO 11,DEMOCRAT,RICK LARSEN,631
WASHINGTON,2,2,CAMANO 11,REPUBLICAN,TIMOTHY S HAZELO,517
WASHINGTON,2,2,CASCADE,DEMOCRAT,RICK LARSEN,356
WASHINGTON,2,2,CASCADE,REPUBLICAN,TIMOTHY S HAZELO,160
WASHINGTON,2,2,CASCADIAN,DEMOCRAT,RICK LARSEN,479
WASHINGTON,2,2,CASCADIAN,REPUBLICAN,TIMOTHY S HAZELO,269
WASHINGTON,2,2,CEDARHOME,DEMOCRAT,RICK LARSEN,254
WASHINGTON,2,2,CEDARHOME,REPUBLICAN,TIMOTHY S HAZELO,333
WASHINGTON,2,2,CHATHAM,DEMOCRAT,RICK LARSEN,80
WASHINGTON,2,2,CHATHAM,REPUBLICAN,TIMOTHY S HAZELO,65
WASHINGTON,2,2,CLIFF,DEMOCRAT,RICK LARSEN,179
WASHINGTON,2,2,CLIFF,REPUBLICAN,TIMOTHY S HAZELO,225
WASHINGTON,2,2,CLOVER,DEMOCRAT,RICK LARSEN,363
WASHINGTON,2,2,CLOVER,REPUBLICAN,TIMOTHY S HAZELO,238
WASHINGTON,2,2,COHO,DEMOCRAT,RICK LARSEN,180
WASHINGTON,2,2,COHO,REPUBLICAN,TIMOTHY S HAZELO,90
WASHINGTON,2,2,COLLINS,DEMOCRAT,RICK LARSEN,192
WASHINGTON,2,2,COLLINS,REPUBLICAN,TIMOTHY S HAZELO,261
WASHINGTON,2,2,CONWAY,DEMOCRAT,RICK LARSEN,157
WASHINGTON,2,2,CONWAY,REPUBLICAN,TIMOTHY S HAZELO,159
WASHINGTON,2,2,COUNTRY,DEMOCRAT,RICK LARSEN,331
