state,district,precinct,party,candidate,votes
FLORIDA,1,72_PRECINCT 72,DEMOCRAT,PHIL EHR,369
FLORIDA,1,72_PRECINCT 72,REPUBLICAN,MATT GAETZ,356
FLORIDA,1,73_PRECINCT 73,DEMOCRAT,PHIL EHR,1203
FLORIDA,1,73_PRECINCT 73,REPUBLICAN,MATT GAETZ,1940
FLORIDA,1,74_PRECINCT 74,DEMOCRAT,PHIL EHR,1296
FLORIDA,1,74_PRECINCT 74,REPUBLICAN,MATT GAETZ,3234
FLORIDA,1,75_PRECINCT 75,DEMOCRAT,PHIL EHR,1322
FLORIDA,1,75_PRECINCT 75,REPUBLICAN,MATT GAETZ,1613
FLORIDA,1,77_PRECINCT 77,DEMOCRAT,PHIL EHR,887
FLORIDA,1,77_PRECINCT 77,REPUBLICAN,MATT GAETZ,582
FLORIDA,1,7_07,DEMOCRAT,PHIL EHR,307
FLORIDA,1,7_07,REPUBLICAN,MATT GAETZ,1131
FLORIDA,1,7_7 MUNSON,DEMOCRAT,PHIL EHR,25
FLORIDA,1,7_7 MUNSON,REPUBLICAN,MATT GAETZ,205
FLORIDA,1,7_PRECINCT 7,DEMOCRAT,PHIL EHR,1421
FLORIDA,1,7_PRECINCT 7,REPUBLICAN,MATT GAETZ,3627
FLORIDA,1,80_PRECINCT 80,DEMOCRAT,PHIL EHR,355
FLORIDA,1,80_PRECINCT 80,REPUBLICAN,MATT GAETZ,488
FLORIDA,1,82_PRECINCT 82,DEMOCRAT,PHIL EHR,401
FLORIDA,1,82_PRECINCT 82,REPUBLICAN,MATT GAETZ,271
FLORIDA,1,83_PRECINCT 83,DEMOCRAT,PHIL EHR,700
FLORIDA,1,83_PRECINCT 83,REPUBLICAN,MATT GAETZ,1044
FLORIDA,1,86_PRECINCT 86,DEMOCRAT,PHIL EHR,1008
FLORIDA,1,86_PRECINCT 86,REPUBLICAN,MATT GAETZ,1252
FLORIDA,1,88_PRECINCT 88,DEMOCRAT,PHIL EHR,741
FLORIDA,1,88_PRECINCT 88,REPUBLICAN,MATT GAETZ,716
