state,district2010,district2020,precinct,party,candidate,votes
OKLAHOMA,1,1,720070,REPUBLICAN,KEVIN HERN,131
OKLAHOMA,1,1,720071,DEMOCRAT,KOJO ASAMOA-CAESAR,402
OKLAHOMA,1,1,720071,REPUBLICAN,KEVIN HERN,798
OKLAHOMA,1,1,720072,DEMOCRAT,KOJO ASAMOA-CAESAR,169
OKLAHOMA,1,1,720072,REPUBLICAN,KEVIN HERN,349
OKLAHOMA,1,1,720073,DEMOCRAT,KOJO ASAMOA-CAESAR,166
OKLAHOMA,1,1,720073,REPUBLICAN,KEVIN HERN,343
OKLAHOMA,1,1,720074,DEMOCRAT,KOJO ASAMOA-CAESAR,233
OKLAHOMA,1,1,720074,REPUBLICAN,KEVIN HERN,497
OKLAHOMA,1,1,720075,DEMOCRAT,KOJO ASAMOA-CAESAR,249
OKLAHOMA,1,1,720075,REPUBLICAN,KEVIN HERN,236
OKLAHOMA,1,1,720076,DEMOCRAT,KOJO ASAMOA-CAESAR,317
OKLAHOMA,1,1,720076,REPUBLICAN,KEVIN HERN,333
OKLAHOMA,1,1,720077,DEMOCRAT,KOJO ASAMOA-CAESAR,351
OKLAHOMA,1,1,720077,REPUBLICAN,KEVIN HERN,364
OKLAHOMA,1,1,720078,DEMOCRAT,KOJO ASAMOA-CAESAR,311
OKLAHOMA,1,1,720078,REPUBLICAN,KEVIN HERN,497
OKLAHOMA,1,1,720079,DEMOCRAT,KOJO ASAMOA-CAESAR,362
OKLAHOMA,1,1,720079,REPUBLICAN,KEVIN HERN,438
OKLAHOMA,1,1,720080,DEMOCRAT,KOJO ASAMOA-CAESAR,70
OKLAHOMA,1,1,720080,REPUBLICAN,KEVIN HERN,92
OKLAHOMA,1,1,720081,DEMOCRAT,KOJO ASAMOA-CAESAR,325
OKLAHOMA,1,1,720081,REPUBLICAN,KEVIN HERN,443
OKLAHOMA,1,1,720082,DEMOCRAT,KOJO ASAMOA-CAESAR,222
OKLAHOMA,1,1,720082,REPUBLICAN,KEVIN HERN,340
OKLAHOMA,1,1,720083,DEMOCRAT,KOJO ASAMOA-CAESAR,294
OKLAHOMA,1,1,720083,REPUBLICAN,KEVIN HERN,303
OKLAHOMA,1,1,720084,DEMOCRAT,KOJO ASAMOA-CAESAR,164
OKLAHOMA,1,1,720084,REPUBLICAN,KEVIN HERN,314
OKLAHOMA,1,1,720085,DEMOCRAT,KOJO ASAMOA-CAESAR,149
OKLAHOMA,1,1,720085,REPUBLICAN,KEVIN HERN,126
OKLAHOMA,1,1,720086,DEMOCRAT,KOJO ASAMOA-CAESAR,246
OKLAHOMA,1,1,720086,REPUBLICAN,KEVIN HERN,449
OKLAHOMA,1,1,720087,DEMOCRAT,KOJO ASAMOA-CAESAR,262
OKLAHOMA,1,1,720087,REPUBLICAN,KEVIN HERN,376
OKLAHOMA,1,1,720088,DEMOCRAT,KOJO ASAMOA-CAESAR,100
OKLAHOMA,1,1,720088,REPUBLICAN,KEVIN HERN,102
OKLAHOMA,1,1,720089,DEMOCRAT,KOJO ASAMOA-CAESAR,170
OKLAHOMA,1,1,720089,REPUBLICAN,KEVIN HERN,196
OKLAHOMA,1,1,720090,DEMOCRAT,KOJO ASAMOA-CAESAR,153
OKLAHOMA,1,1,720090,REPUBLICAN,KEVIN HERN,159
OKLAHOMA,1,1,720091,DEMOCRAT,KOJO ASAMOA-CAESAR,262
OKLAHOMA,1,1,720091,REPUBLICAN,KEVIN HERN,248
OKLAHOMA,1,1,720092,DEMOCRAT,KOJO ASAMOA-CAESAR,174
OKLAHOMA,1,1,720092,REPUBLICAN,KEVIN HERN,238
