Year,Month,UnemploymentRate,CPI,Open,High,Low,Close,AdjClose,Volume
2021,8,5.1,5.30%,14758.59961,15288.08008,14423.16016,15259.24023,15259.24023,88083480000
2021,9,4.7,5.40%,15308.98047,15403.44043,14444.29981,14448.58008,14448.58008,95275100000
2021,10,4.5,6.20%,14494.92969,15504.12012,14181.69043,15498.38965,15498.38965,99492020000
2021,11,4.1,6.80%,15541.25977,16212.23047,15451.38965,15537.69043,15537.69043,1.09E+11
2021,12,3.9,7.00%,15752.26953,15901.46973,14860.04004,15644.96973,15644.96973,1.04E+11
2022,1,4,7.50%,15732.5,15852.13965,13094.65039,14239.87988,14239.87988,1.00E+11
2022,2,3.8,7.90%,14277.42969,14509.55957,12587.87988,13751.40039,13751.40039,89543300000
2022,3,3.6,8.50%,13716.7002,14646.90039,12555.34961,14220.51953,14220.51953,1.31E+11
2022,4,3.7,8.30%,14269.53027,14534.37988,12315.74023,12334.63965,12334.63965,96581010000
2022,5,3.6,8.60%,12331.69043,12985.00977,11035.69043,12081.38965,12081.38965,1.11E+11
2022,6,3.6,9.10%,12176.88965,12320.12012,10565.13965,11028.74023,11028.74023,1.14E+11
2022,7,3.5,8.50%,11006.83008,12426.25977,10911.4502,12390.69043,12390.69043,94293720000
2022,8,3.6,8.30%,12317.95996,13181.08984,11790.01953,11816.2002,11816.2002,1.10E+11
2022,9,3.5,8.20%,11707.44043,12270.19043,10572.33008,10575.62012,10575.62012,98888530000
2022,10,3.6,7.70%,10659.00977,11230.44043,10088.83008,10988.15039,10988.15039,98292380000
2022,11,3.6,7.10%,11154.74023,11492.62012,10262.92969,11468,11468,1.02E+11
2022,12,3.5,6.50%,11475.16992,11571.63965,10207.46973,10466.48047,10466.48047,1.00E+11
2023,1,3.4,6.40%,10562.05957,11691.88965,10265.04004,11584.54981,11584.54981,1.07E+11
2023,2,3.6,6.00%,11573.13965,12269.54981,11334.46973,11455.54004,11455.54004,99644100000
2023,3,3.5,5.00%,11447.58008,12227.92969,10982.79981,12221.91016,12221.91016,1.20E+11
2023,4,3.4,4.90%,12146.08984,12245.42969,11798.76953,12226.58008,12226.58008,90509520000
