country,broad_sector,year,export_trade,import_trade
MEX,2,2011,3306.075567,40768.157358
MEX,2,2012,3003.088729,38024.505779
MEX,2,2013,3958.143877,32825.776587
MEX,2,2014,4314.606610000001,28797.432961
MEX,2,2015,3702.4900540000003,13309.307433
MEX,2,2016,3923.0841629999995,8227.066599
MEX,2,2017,6577.197730999999,10730.674078999999
MEX,2,2018,8181.640589999999,15024.023883000002
MEX,2,2019,7400.739269999999,12970.156315
MEX,3,2010,133348.91781900002,186262.157299
MEX,3,2011,158997.45467700012,208149.568129
MEX,3,2012,170746.31321199995,225327.26193999997
MEX,3,2013,172955.501545,233034.58644800002
MEX,3,2014,177868.71092399996,248732.96369499998
MEX,3,2015,169842.62279,264931.405106
MEX,3,2016,161127.67300300003,266553.25753
MEX,3,2017,172152.79834,281989.8714240001
MEX,3,2018,189797.65299299997,310086.45929300005
MEX,3,2019,180871.21824800008,322706.78947699995
MEX,4,2010,23727.0,15891.0
MEX,4,2011,25477.0,16811.0
MEX,4,2012,27292.0,18021.0
MEX,4,2013,28881.0,18909.0
MEX,4,2014,29461.0,21632.0
MEX,4,2015,31053.0,24135.0
MEX,4,2016,31038.0,25855.0
MEX,4,2017,31789.0,27611.0
MEX,4,2018,32864.0,28325.0
MEX,4,2019,32738.0,30508.0
