exporter,importer,sector,year,trade
USA,MEX,3,2014,177868.71092399996
USA,MEX,3,2015,169842.62279
USA,MEX,3,2016,161127.67300300003
USA,MEX,3,2017,172152.79834
USA,MEX,3,2018,189797.65299299997
USA,MEX,3,2019,180871.21824800008
USA,MEX,4,2010,23727.0
USA,MEX,4,2011,25477.0
USA,MEX,4,2012,27292.0
USA,MEX,4,2013,28881.0
USA,MEX,4,2014,29461.0
USA,MEX,4,2015,31053.0
USA,MEX,4,2016,31038.0
USA,MEX,4,2017,31789.0
USA,MEX,4,2018,32864.0
USA,MEX,4,2019,32738.0
USA,USA,1,2010,147240.676
USA,USA,1,2011,158017.15
USA,USA,1,2012,173578.09299999996
USA,USA,1,2013,164904.08800000002
USA,USA,1,2014,146229.174
USA,USA,1,2015,143404.75700000004
USA,USA,1,2016,132324.439
USA,USA,1,2017,133744.532
USA,USA,1,2018,140174.059
USA,USA,1,2019,121006.73300000001
USA,USA,2,2010,486459.785216
USA,USA,2,2011,584478.031872
USA,USA,2,2012,597741.092864
USA,USA,2,2013,644130.881536
USA,USA,2,2014,718035.3044479999
USA,USA,2,2015,474471.661568
USA,USA,2,2016,367783.28064
USA,USA,2,2017,460644.204544
USA,USA,2,2018,548364.255232
USA,USA,2,2019,497553.293312
USA,USA,3,2010,3153762.66644
USA,USA,3,2011,3386708.245096
USA,USA,3,2012,3460591.593184001
USA,USA,3,2013,3549517.6744320015
USA,USA,3,2014,3667920.2553280005
USA,USA,3,2015,3637479.3796400004
USA,USA,3,2016,3593683.763308
USA,USA,3,2017,3642601.4410399995
USA,USA,3,2018,3753342.817631998
USA,USA,3,2019,3692859.8134879996
USA,USA,4,2010,14211949.59375
USA,USA,4,2011,14888775.90625
USA,USA,4,2012,15697669.015625
USA,USA,4,2013,16330729.140625
USA,USA,4,2014,17298025.875
USA,USA,4,2015,18107468.9375
USA,USA,4,2016,18828388.34375
USA,USA,4,2017,19775334.6875
USA,USA,4,2018,20924229.03125
USA,USA,4,2019,21793122.5
