exporter,importer,sector,industry,year,trade
BRA,ARG,1,2,2016,0.275
USA,ARG,1,2,2016,0.067
ARG,ARG,1,2,2017,121.478
BRA,ARG,1,2,2017,0.152
ARG,ARG,1,2,2018,73.529
BRA,ARG,1,2,2018,0.05
USA,ARG,1,2,2018,0.02
BRA,ARG,1,2,2019,0.08
USA,ARG,1,2,2019,0.065
CAN,BRA,1,2,2010,0.008
BRA,BRA,1,2,2010,3991.627
ARG,BRA,1,2,2010,135.389
USA,BRA,1,2,2010,24.982
ARG,BRA,1,2,2011,128.987
BRA,BRA,1,2,2011,4447.126
CAN,BRA,1,2,2011,0.008
USA,BRA,1,2,2011,0.419
CHL,BRA,1,2,2012,0.012
ARG,BRA,1,2,2012,140.021
BRA,BRA,1,2,2012,3585.599
USA,BRA,1,2,2012,2.55
ARG,BRA,1,2,2013,140.528
BRA,BRA,1,2,2013,4143.575
USA,BRA,1,2,2013,2.91
COL,BRA,1,2,2014,0.0
BRA,BRA,1,2,2014,4079.203
ARG,BRA,1,2,2014,68.576
CHL,BRA,1,2,2014,4.476
USA,BRA,1,2,2014,0.529
ARG,BRA,1,2,2015,43.524
USA,BRA,1,2,2015,1.266
CHL,BRA,1,2,2015,2.699
BRA,BRA,1,2,2015,2909.82
BRA,BRA,1,2,2016,2637.015
ARG,BRA,1,2,2016,56.473
USA,BRA,1,2,2016,0.653
CHL,BRA,1,2,2016,1.094
ARG,BRA,1,2,2017,55.194
BRA,BRA,1,2,2017,3289.604
CHL,BRA,1,2,2017,0.168
USA,BRA,1,2,2017,0.225
ARG,BRA,1,2,2018,35.704
USA,BRA,1,2,2018,1.832
CHL,BRA,1,2,2018,0.206
BRA,BRA,1,2,2018,2022.709
ARG,BRA,1,2,2019,43.169
CHL,BRA,1,2,2019,0.443
USA,BRA,1,2,2019,0.284
BRA,CAN,1,2,2010,0.17
MEX,CAN,1,2,2010,0.045
ARG,CAN,1,2,2010,0.301
PER,CAN,1,2,2010,0.076
USA,CAN,1,2,2010,156.743
BRA,CAN,1,2,2011,0.759
COL,CAN,1,2,2011,0.001
PER,CAN,1,2,2011,0.002
ARG,CAN,1,2,2011,0.398
MEX,CAN,1,2,2011,0.004
USA,CAN,1,2,2011,154.717
COL,CAN,1,2,2012,0.0
ARG,CAN,1,2,2012,0.806
PER,CAN,1,2,2012,0.014
MEX,CAN,1,2,2012,0.002
BRA,CAN,1,2,2012,0.38
USA,CAN,1,2,2012,155.286
USA,CAN,1,2,2013,161.647
MEX,CAN,1,2,2013,0.002
BRA,CAN,1,2,2013,0.198
ARG,CAN,1,2,2013,2.034
CHL,CAN,1,2,2013,0.002
PER,CAN,1,2,2013,0.005
BRA,CAN,1,2,2014,0.242
PER,CAN,1,2,2014,0.025
MEX,CAN,1,2,2014,0.004
USA,CAN,1,2,2014,176.822
COL,CAN,1,2,2014,0.0
ARG,CAN,1,2,2014,2.077
ARG,CAN,1,2,2015,2.786
BRA,CAN,1,2,2015,0.875
USA,CAN,1,2,2015,154.025
PER,CAN,1,2,2015,0.007
COL,CAN,1,2,2015,0.001
MEX,CAN,1,2,2015,0.003
ARG,CAN,1,2,2016,2.323
PER,CAN,1,2,2016,0.004
MEX,CAN,1,2,2016,0.003
BRA,CAN,1,2,2016,0.542
USA,CAN,1,2,2016,143.726
ARG,CAN,1,2,2017,1.092
USA,CAN,1,2,2017,142.665
PER,CAN,1,2,2017,0.008
MEX,CAN,1,2,2017,0.004
BRA,CAN,1,2,2017,0.447
PER,CAN,1,2,2018,0.006
ARG,CAN,1,2,2018,0.968
BRA,CAN,1,2,2018,0.591
MEX,CAN,1,2,2018,0.009
COL,CAN,1,2,2018,0.002
USA,CAN,1,2,2018,169.044
USA,CAN,1,2,2019,187.836
MEX,CAN,1,2,2019,0.012
PER,CAN,1,2,2019,0.008
ARG,CAN,1,2,2019,1.476
BRA,CAN,1,2,2019,0.391
CAN,CHL,1,2,2010,0.068
BRA,CHL,1,2,2010,2.023
CHL,CHL,1,2,2010,23.362
PER,CHL,1,2,2010,0.028
ARG,CHL,1,2,2010,45.287
USA,CHL,1,2,2010,0.824
CAN,CHL,1,2,2011,0.005
ARG,CHL,1,2,2011,37.855
BRA,CHL,1,2,2011,4.14
USA,CHL,1,2,2011,0.455
CHL,CHL,1,2,2011,29.012
BRA,CHL,1,2,2012,1.354
CAN,CHL,1,2,2012,0.02
MEX,CHL,1,2,2012,0.0
ARG,CHL,1,2,2012,35.986
USA,CHL,1,2,2012,0.636
PER,CHL,1,2,2012,0.0
CHL,CHL,1,2,2012,5.431
CHL,CHL,1,2,2013,7.227
PER,CHL,1,2,2013,0.009
COL,CHL,1,2,2013,0.001
ARG,CHL,1,2,2013,18.215
BRA,CHL,1,2,2013,0.337
USA,CHL,1,2,2013,0.792
CHL,CHL,1,2,2014,2.654
BRA,CHL,1,2,2014,3.478
PER,CHL,1,2,2014,0.023
USA,CHL,1,2,2014,1.09
ARG,CHL,1,2,2014,15.759
BRA,CHL,1,2,2015,4.166
ARG,CHL,1,2,2015,25.51
USA,CHL,1,2,2015,1.089
CHL,CHL,1,2,2015,50.398
PER,CHL,1,2,2015,0.01
CAN,CHL,1,2,2015,0.001
PER,CHL,1,2,2016,0.013
BRA,CHL,1,2,2016,1.687
CHL,CHL,1,2,2016,47.615
USA,CHL,1,2,2016,1.287
ARG,CHL,1,2,2016,33.822
PER,CHL,1,2,2017,0.014
